"Number","Nation","Auditor","Name_of_Individual","Position_Title","Number_of_Months","Remuneration","Expenses"
1,"Abegweit_First_Nation","Grant_Thornton_LLP","Danny_Levi","Councilor",12,75700,9118
1,"Abegweit_First_Nation","Grant_Thornton_LLP","Daren_Knockwood","Councilor",12,67851,3371
10,"Indian_Island_First_Nation","Nadeau_Picard_&_Associes","Ingrid_Brooks","Councillor/Social_&_Education",12,45210,1144
10,"Indian_Island_First_Nation","Nadeau_Picard_&_Associes","Catherine_Sanipass","Councillor/Housing",12,44352,1232
11,"Kingsclear_First_Nation","Lenehan_McCain_&_Associates","Tyke_Polchies","Councillor",12,65000,7242
11,"Kingsclear_First_Nation","Lenehan_McCain_&_Associates","Dora_Polchies","Councillor",12,69680,2745
11,"Kingsclear_First_Nation","Lenehan_McCain_&_Associates","Clint_Francis","Councillor",10,23318,1000
11,"Kingsclear_First_Nation","Lenehan_McCain_&_Associates","Rena_Solomon","Councillor",12,75400,1928
11,"Kingsclear_First_Nation","Lenehan_McCain_&_Associates","Barbara_Atwin","Councillor",12,40263,1060
11,"Kingsclear_First_Nation","Lenehan_McCain_&_Associates","Sarah_Paul","Councillor",12,57200,1903
11,"Kingsclear_First_Nation","Lenehan_McCain_&_Associates","Lynn_Dunbar","Councillor",12,42710,1000
11,"Kingsclear_First_Nation","Lenehan_McCain_&_Associates","Shawn_Narvey","Councillor",12,20800,1425
11,"Kingsclear_First_Nation","Lenehan_McCain_&_Associates","Cathy_Wilson","Councillor",10,54300,1425
11,"Kingsclear_First_Nation","Lenehan_McCain_&_Associates","Tony_Atwin","Councillor",2,45800,2926
11,"Kingsclear_First_Nation","Lenehan_McCain_&_Associates","Nick_Sacobie","Councillor",2,11400,0
12,"Oromocto_First_Nation","Teed_Saunders_Doyle_&_Co.","Terry_Paul","Councillor",12,68090,17408
12,"Oromocto_First_Nation","Teed_Saunders_Doyle_&_Co.","Shirley_Sacobie","Councillor",12,66446,28069
12,"Oromocto_First_Nation","Teed_Saunders_Doyle_&_Co.","Shelley_Sabattis","Councillor",12,66046,23322
12,"Oromocto_First_Nation","Teed_Saunders_Doyle_&_Co.","Andrew_Levi","Councillor",6,35636,3226
12,"Oromocto_First_Nation","Teed_Saunders_Doyle_&_Co.","Allan_Sabattis","Councillor",12,21429,12387
120,"Mississaugas_of_The_New_Credit_First_Nation","Millards","R_Stacey_LaForme","Councillor_1",12,33502.92,5469.26
120,"Mississaugas_of_The_New_Credit_First_Nation","Millards","Kerri_King","Councillor_2",9,24455.98,258.38
120,"Mississaugas_of_The_New_Credit_First_Nation","Millards","Larry_Sault","Councillor_2",3,9046.94,2094.48
120,"Mississaugas_of_The_New_Credit_First_Nation","Millards","Sharon_Bonham","Councillor_3",3,9046.94,1242.04
120,"Mississaugas_of_The_New_Credit_First_Nation","Millards","Craig_King","Councillor_3",9,24455.98,2405.33
120,"Mississaugas_of_The_New_Credit_First_Nation","Millards","Erma_Ferrell","Councillor_4",12,33502.92,5969.73
120,"Mississaugas_of_The_New_Credit_First_Nation","Millards","Cecil_Sault","Councillor_5",12,33502.92,0
120,"Mississaugas_of_The_New_Credit_First_Nation","Millards","Clynten_V_King","Councillor_6",12,33502.92,279.61
120,"Mississaugas_of_The_New_Credit_First_Nation","Millards","Arland_K_LaForme","Councillor_7",12,33502.92,0
121,"Six_Nations_of_the_Grand_River","KPMG_LLP","Terry_General","Councilor",4,11988,3100
121,"Six_Nations_of_the_Grand_River","KPMG_LLP","Carl_Hill","Councilor",12,40999,1561
121,"Six_Nations_of_the_Grand_River","KPMG_LLP","David_Hill","Councilor",12,38475,1449
121,"Six_Nations_of_the_Grand_River","KPMG_LLP","Gail_Ava_Hill","Councilor",8,26816,10498
121,"Six_Nations_of_the_Grand_River","KPMG_LLP","Mark_Hill","Councilor",12,38678,1213
121,"Six_Nations_of_the_Grand_River","KPMG_LLP","Darryl_Hill","Councilor",12,39800,12610
121,"Six_Nations_of_the_Grand_River","KPMG_LLP","Sherri-Lynn_Hill_Pierce","Councilor",4,12560,0
121,"Six_Nations_of_the_Grand_River","KPMG_LLP","Robert_Johnson","Councilor",12,39800,1708
121,"Six_Nations_of_the_Grand_River","KPMG_LLP","Ross_Johnson","Councilor",8,27438,4131
121,"Six_Nations_of_the_Grand_River","KPMG_LLP","Roger_Jonathan","Councilor",12,38678,0
121,"Six_Nations_of_the_Grand_River","KPMG_LLP","Wray_Maracle","Councilor",12,40999,1041
121,"Six_Nations_of_the_Grand_River","KPMG_LLP","Helen_Miller","Councilor",12,38470,8228
121,"Six_Nations_of_the_Grand_River","KPMG_LLP","Lewis_Staats","Councilor",12,39549,4583
121,"Six_Nations_of_the_Grand_River","KPMG_LLP","Melba_Thomas","Councilor",12,38423,217
122,"Chippewas_of_Nawash_Unceded_First_Nation","MNP_LLP",NA,"Councillor_1",6,27372,3488
122,"Chippewas_of_Nawash_Unceded_First_Nation","MNP_LLP",NA,"Councillor_2",12,12260,27475
122,"Chippewas_of_Nawash_Unceded_First_Nation","MNP_LLP",NA,"Councillor_3",12,128984.28,1141
122,"Chippewas_of_Nawash_Unceded_First_Nation","MNP_LLP",NA,"Councillor_4",8,9335,7342
122,"Chippewas_of_Nawash_Unceded_First_Nation","MNP_LLP",NA,"Councillor_5",8,7245,3181
122,"Chippewas_of_Nawash_Unceded_First_Nation","MNP_LLP",NA,"Councillor_6",8,31194.93,16258
122,"Chippewas_of_Nawash_Unceded_First_Nation","MNP_LLP",NA,"Councillor_7",12,35049.35,17870
122,"Chippewas_of_Nawash_Unceded_First_Nation","MNP_LLP",NA,"Councillor_8",12,46122,9110
122,"Chippewas_of_Nawash_Unceded_First_Nation","MNP_LLP",NA,"Councillor_9",12,23859,6614
122,"Chippewas_of_Nawash_Unceded_First_Nation","MNP_LLP",NA,"Councillor_10",5,15827,-3090
122,"Chippewas_of_Nawash_Unceded_First_Nation","MNP_LLP",NA,"Councillor_11",5,9285,1517
123,"Chippewas_of_Saugeen_First_Nation","BDO_Canada_LLP","Bryan_Johnson","Councillor",12,50374,4547
123,"Chippewas_of_Saugeen_First_Nation","BDO_Canada_LLP","Clint_Root","Councillor",12,50374,10456
123,"Chippewas_of_Saugeen_First_Nation","BDO_Canada_LLP","Randall_Roote","Councillor",12,51921,8820
123,"Chippewas_of_Saugeen_First_Nation","BDO_Canada_LLP","Vern_Roote","Councillor",12,50374,10994
123,"Chippewas_of_Saugeen_First_Nation","BDO_Canada_LLP","Ken_Roote","Councillor",12,50374,4926
123,"Chippewas_of_Saugeen_First_Nation","BDO_Canada_LLP","Sonya_Roote","Councillor",12,50374,4815
123,"Chippewas_of_Saugeen_First_Nation","BDO_Canada_LLP","Letitia_Thompson","Councillor",12,50374,9828
123,"Chippewas_of_Saugeen_First_Nation","BDO_Canada_LLP","Stacey_John","Councillor",12,50374,3060
123,"Chippewas_of_Saugeen_First_Nation","BDO_Canada_LLP","Joanne_Mason","Councillor",12,50374,2954
124,"Big_Grassy_River_First_Nation","BDO_Canada_LLP","Carol_Copenace","Councillor",12,64257,19488
124,"Big_Grassy_River_First_Nation","BDO_Canada_LLP","Chris_Jack","Councillor",12,63192,15809
124,"Big_Grassy_River_First_Nation","BDO_Canada_LLP","James_Comegan","Councillor",12,73760,15612
124,"Big_Grassy_River_First_Nation","BDO_Canada_LLP","Lynn_Indian","Councillor",12,51246,9338
